lat,lng,total,white,black,native,asian,pi,other,multiple,hispanic
47.7237343,-122.3130932,26,18,1,0,4,0,0,2,1
47.7257653,-122.3174155,44,38,2,0,0,0,0,3,1
47.7221355,-122.3140318,44,24,7,0,5,0,0,2,6
47.7215359,-122.3118091,262,170,17,1,54,0,4,4,12
47.7236587,-122.3105494,71,58,0,0,9,0,0,0,4
47.7208798,-122.3100794,94,58,1,0,21,0,1,6,7
47.7203683,-122.3167372,135,83,5,0,29,2,2,1,13
47.7203332,-122.3147229,49,35,4,2,1,0,1,6,0
47.7203315,-122.3133585,17,9,0,0,8,0,0,0,0
47.7333374,-122.3030711,35,15,0,0,12,0,0,0,8
47.7331653,-122.3041665,41,29,0,0,7,0,0,0,5
47.7331217,-122.3053743,38,29,3,0,3,0,0,0,3
47.7329444,-122.3066348,63,35,4,0,14,0,0,5,5
47.7329868,-122.3080048,110,65,17,5,8,0,0,4,11
47.7311629,-122.3079858,56,46,7,0,0,0,0,2,1
47.7312105,-122.3065341,46,32,0,0,2,0,0,9,3
47.731037,-122.3048895,71,60,0,1,7,1,0,0,2
47.7311157,-122.3036737,65,55,0,0,6,0,0,3,1
47.7312825,-122.3025647,61,47,1,1,3,0,0,3,6
47.7327931,-122.3024271,22,13,0,1,3,0,0,2,3
47.7293309,-122.3079654,47,39,1,0,6,0,0,1,0
47.7293416,-122.3066731,44,38,0,0,5,0,0,0,1
47.7294024,-122.3054803,53,40,4,0,5,0,0,2,2
47.7290578,-122.3040546,34,30,4,0,0,0,0,0,0
47.7290819,-122.3027054,57,34,0,1,17,0,0,4,1
47.7274096,-122.3023644,58,42,2,0,7,0,0,0,7
47.7276091,-122.3036937,38,31,1,0,3,0,0,1,2
47.7275268,-122.3048956,47,37,6,0,4,0,0,0,0
47.7277824,-122.3066342,32,17,3,0,6,0,0,2,4
47.7269969,-122.3060339,26,20,0,0,2,0,0,4,0
47.7256866,-122.3066037,50,25,3,0,12,0,1,4,5
47.7256778,-122.3052564,46,26,3,0,17,0,0,0,0
47.7256682,-122.3039177,54,46,0,0,7,0,0,0,1
47.7256573,-122.3025759,42,31,0,0,8,0,0,2,1
47.7260025,-122.3012116,26,18,0,0,3,0,0,2,3
47.7259914,-122.299836,21,15,0,0,0,0,0,6,0
47.725093,-122.3005174,31,28,0,0,3,0,0,0,0
47.7321942,-122.3273556,7,3,0,0,1,0,2,0,1
47.7331972,-122.3309147,56,40,2,0,5,0,0,3,6
47.7332191,-122.3322879,51,38,0,1,5,0,0,0,7
47.7322369,-122.3335704,122,80,7,0,27,0,0,5,3
47.7332238,-122.3347957,57,22,3,0,24,0,0,6,2
47.7332232,-122.3356203,30,26,0,0,4,0,0,0,0
47.7314201,-122.3356011,27,18,2,0,0,1,0,5,1
47.7305403,-122.3348208,56,25,3,0,26,0,0,2,0
47.7288793,-122.3351243,7,7,0,0,0,0,0,0,0
47.7295706,-122.3328892,96,50,0,1,32,0,0,8,5
47.7313873,-122.3321732,47,34,9,0,2,0,0,2,0
47.7313817,-122.3308993,46,32,1,0,5,0,1,0,7
47.7313587,-122.3295568,49,30,7,0,4,0,0,3,5
47.7295473,-122.3302121,101,83,0,0,13,0,1,4,0
47.7293521,-122.3282699,62,46,0,0,4,0,0,3,9
47.7300618,-122.327036,13,12,0,0,0,0,1,0,0
47.7300826,-122.325794,37,17,0,7,0,0,4,0,9
47.729194,-122.3248126,33,15,0,0,12,0,0,5,1
47.7259153,-122.3252974,104,80,5,0,13,0,0,5,1
47.7283252,-122.3261073,25,20,0,0,2,0,2,1,0
47.7291217,-122.326756,25,20,1,0,1,0,0,0,3
47.7276597,-122.3293181,29,25,0,0,3,0,0,1,0
47.7278257,-122.3304806,63,51,0,0,6,0,0,5,1
47.7282317,-122.3324335,28,25,0,0,2,0,0,0,1
47.7263589,-122.327722,27,17,0,0,3,0,0,3,4
47.7265772,-122.3293686,25,13,2,4,0,0,0,0,6
47.7256905,-122.3268013,35,29,0,0,2,0,0,0,4
47.7332226,-122.3364449,46,38,0,0,5,0,0,0,3
47.7332266,-122.3375107,64,47,5,0,4,0,0,3,5
47.7332115,-122.3383345,23,16,0,0,4,0,0,1,2
47.7332205,-122.3391503,47,28,2,0,9,1,0,6,1
47.7332204,-122.3402067,53,39,6,0,7,0,0,0,1
47.7332199,-122.3410307,32,26,0,0,0,0,0,0,6
47.733241,-122.3418454,107,55,3,3,27,0,0,6,13
47.7334421,-122.3428705,104,30,21,1,16,4,1,10,21
47.7336385,-122.3436963,9,6,2,0,0,1,0,0,0
47.7327358,-122.3437157,27,9,7,0,3,0,0,4,4
47.7325617,-122.3429839,12,4,0,0,8,0,0,0,0
47.7313995,-122.3428795,67,28,0,0,13,0,0,11,15
47.7301272,-122.3432217,213,107,37,3,16,4,0,20,26
47.7295784,-122.3443749,8,1,0,0,7,0,0,0,0
47.7303185,-122.3417168,107,76,9,1,10,0,0,9,2
47.7312102,-122.3410179,15,14,0,0,1,0,0,0,0
47.7320866,-122.340986,5,4,1,0,0,0,0,0,0
47.7318851,-122.3401388,13,5,1,0,5,0,2,0,0
47.7316379,-122.3390999,32,27,3,0,0,0,0,2,0
47.7314492,-122.3383005,24,19,3,0,0,0,0,0,2
47.7312477,-122.3374612,63,37,8,0,5,0,0,3,10
47.7308822,-122.3363306,63,40,2,2,12,0,0,2,5
47.7291635,-122.3363318,28,17,2,0,9,0,0,0,0
47.7294759,-122.3376541,49,33,1,0,2,0,0,5,8
47.7298004,-122.3389968,61,53,0,0,4,0,0,3,1
47.7309961,-122.3402374,31,28,2,0,1,0,0,0,0
